command,intent
who has the most open issues,developers_with_most_open_issues
list the repository releases,list_releases
how many commits are in branch X,number_of_commits_in_branch
Did Ben make alot of contributions to this repository ?,contributions_by_developer
How many commits does dev have,contributions_by_developer
longest open pr,longest_open_pr
show me the longest open pull request,longest_open_pr
when was the latest release published,latest_release
latest release,latest_release
which issue has been open for the longest time,longest_open_issue
which issue has been open the longest,longest_open_issue
give me a report from the last day?,activity_report
At what time was the pull request 2315 opened,pr_creation_date
pr 546 creation date,pr_creation_date
give me a list of new pull requests,most_recent_prs
what are the most recent pull requests,most_recent_prs
show me the newest pull requests in the repository,most_recent_prs
what files were changed in pr 6744,files_changed_by_pr
list me the files affected by pr number 4,files_changed_by_pr
what files has this pr 69 touched,files_changed_by_pr
At what time was pull request 2315 closed,pr_closing_date
What was the date of closing pr 4,pr_closing_date
What was the date when pr 432 was merged,pr_closing_date
When was issue 1109 closed,issue_closing_date
when was issue 24 closed,issue_closing_date
show me who opned pull request 1235,pr_creator
who is the developer that started pull request 964,pr_creator
who created pull request 6744,pr_creator
who authored pull request 3?,pr_creator
Which branch is considered to be the base one?,default_branch
give me the name of the default branch in the repository?,default_branch
what is the base branch in this repository?,default_branch
how many watchers,number_of_watchers
count the repository watchers,number_of_watchers
how many watchers for the repository?,number_of_watchers
watchers count?,number_of_watchers
which language are we using the most?,main_programming_language
Main programming language?,main_programming_language
give me the main programming language,main_programming_language
most used programming language,main_programming_language
I would like to know the repository license,repository_license
repository license,repository_license
what is the repository legal license?,repository_license
give me the license for the repository,repository_license
show me who helped on issue 1235,issue_contributors
show me the developers who commented on issue 888,issue_contributors
who are the contributors to issue 964,issue_contributors
give me names of all the contributors to issue 123,issue_contributors
who created file readme.md in the repository?,file_creator
who created map.json?,file_creator
who first added this file domain.yml ?,file_creator
name the developer who created file users.db,file_creator
show me who created the file bridge.py,file_creator
developer who created constant.txt,file_creator
list me the commits that mentioned issue 888,issue_related_commits
what commits are related to 3234?,issue_related_commits
which commits in the repository are linked to issue 84161?,issue_related_commits
issue 13 related commits?,issue_related_commits
list commits that mention issue 84161,issue_related_commits
how many forks,number_of_forks
how many forks in total does the repository have?,number_of_forks
In this repository, how many forks do I have?,number_of_forks
How many forks?,number_of_forks
count for me the number of stars,number_of_stars
give the number of stars I have in repository,number_of_stars
how many stars do we have?,number_of_stars
stars count?,number_of_stars
number of stars?,number_of_stars
count the repository stars,number_of_stars
count for me the number of stars that I have,number_of_stars
give me all the collaborators?,list_collaborators
list the names of all the contributors?,list_collaborators
please give me the names of the repository collaborators,list_collaborators
number of downloads,number_of_downloads
how many downloads for the repository?,number_of_downloads
count all the downloads for me,number_of_downloads
how many downloads do we have?,number_of_downloads
How many downloads?,number_of_downloads
I want to know the number of downloads for the repository,number_of_downloads
how many downloads in total?,number_of_downloads
number of downloads?,number_of_downloads
