command,intent
what were the main events from the last day,activity_report
What happened in the last 24 hours,activity_report
show me the linked commits to issue 84161,issue_related_commits
issue 13 related commits?,issue_related_commits
in which commits was issue 964?,issue_related_commits
commits related to issue 3234,issue_related_commits
show me commits linked to this issue 3234?,issue_related_commits
give me the commits that mentioned issue 888?,issue_related_commits
commits that mentioned issue 6744,issue_related_commits
provide me with the total number of stars,number_of_stars
what is the number of stars that we have?,number_of_stars
count for me the number of stars that I have,number_of_stars
stars count,number_of_stars
In this repository, how many stars do I have?,number_of_stars
How many stars?,number_of_stars
give me a count of all the stars,number_of_stars
let me know how many stars are in the repository,number_of_stars
give the number of stars I have in repository,number_of_stars
how many stars do I have?,number_of_stars
