command,intent
who commited last to the master branch,latest_commit_in_branch
what is the last commit in the clean_tool branch,latest_commit_in_branch
the latest commit in the branch master,latest_commit_in_branch
When did issue 214 open,issue_creation_date
For this repo, show me the the number of open issues,number_of_issues
show me who opned issue 1235,issue_creator
who created issue 9521,issue_creator
who is the developer that opened issue 964,issue_creator
give me the user that opened issue 888,issue_creator
which language are we using the most?,main_programming_language
Main programming language?,main_programming_language
give me the main programming language,main_programming_language
most used programming language,main_programming_language
