command,intent
who has the most open issues,developers_with_most_open_issues
number of commits in the branch the-branch-name,number_of_commits_in_branch
how many commits are in branch X,number_of_commits_in_branch
count the number of commits in branch TheBranch,number_of_commits_in_branch
How many contributers ?,number_of_collaborators
How many collaborators ?,number_of_collaborators
top languages,list_languages
What are the technologies that are used in this repository ?,list_languages
What are the top languages in this repostiory ?,list_languages
who has the first commit to the add-ons branch,intial_commit_in_branch
what was the message of the first commit in branch master,intial_commit_in_branch
first commit in branch X,intial_commit_in_branch
How much did John contribute to the respository ?,contributions_by_developer
How many contributions does Makram have,contributions_by_developer
How many commits has Khaled made,contributions_by_developer
pr 13 related commits,commits_in_pr
pull request 6744 related commits,commits_in_pr
show me commits linked to pr 74,commits_in_pr
show me pull request 84161 related commits,commits_in_pr
who made the last commit,latest_commit
the most recent commit,latest_commit
what is the last commit in the repository,latest_commit
the last commit,latest_commit
can you tell me what the latest commit was in this branch play_tests,latest_commit_in_branch
who made the last commit in master,latest_commit_in_branch
last in commit in branch XYZ,latest_commit_in_branch
when was the last commit made in ths branch,latest_commit_in_branch
pull request that has been open for a long time,longest_open_pr
what is the longest open pull request,longest_open_pr
which pull request was open for the longest amount of time,longest_open_pr
which pr has remained unmerged the longest period of time,longest_open_pr
show me the report for the day,activity_report
give me a report from the last day?,activity_report
what were the main events from the last day,activity_report
What happened in the last 24 hours,activity_report
When was issue 1109 opened,issue_creation_date
can you tell me the date 2 was opened ?,issue_creation_date
What was the date when issue 432 was created,issue_creation_date
issue 546 creation date,issue_creation_date
show me the creation date for issue 3,issue_creation_date
who made the 1st commited,intial_commit
can you tell me what the intial commit was,intial_commit
who has the first commit,intial_commit
who commited first to the repo,intial_commit
who has the initial commit in the repository,intial_commit
For this repo, show me the the number of open prs,number_of_prs
How many open prs,number_of_prs
count issues,number_of_issues
number of issues,number_of_issues
count open issues,number_of_issues
please provide a report about closed issues in the repo,number_of_issues
For this repo, show me the the number of open issues,number_of_issues
show me the most recent prs,most_recent_prs
what are the most recent pull requests,most_recent_prs
give me a list of the most recent prs,most_recent_prs
most recent pull requests,most_recent_prs
show me the latest prs,most_recent_prs
list recent prs,most_recent_prs
pull request 546 close date,pr_closing_date
At what time was pull request 2315 closed,pr_closing_date
show me issue 84161 creator,issue_creator
show me who opned issue 1235,issue_creator
who created issue 6744,issue_creator
who created issue 9521,issue_creator
creator of issue 3234,issue_creator
who opened issue 6744,issue_creator
show me pull request 84161 creator,pr_creator
who authored pull request 3?,pr_creator
give me the user that opened pr 888,pr_creator
who opened pr 9521,pr_creator
give me a the developer name who created pull request 564,pr_creator
who created pull request 9521,pr_creator
give me the main programming language,main_programming_language
Tell me the dominant programming language,main_programming_language
I'd like to know the main programming language,main_programming_language
which programming language do we use the most?,main_programming_language
Main programming language?,main_programming_language
what is the main language in the repository?,main_programming_language
I'd like to know the most used programming language,main_programming_language
let me know which branch is the main one?,default_branch
what is the base branch in the repository,default_branch
what is the default branch here?,default_branch
Default branch?,default_branch
what is the default branch,default_branch
what is the main branch in this repository,default_branch
To whom does this repo belong?,repository_owner
count the repository commits,number_of_commits
give the number of commits I have in repository,number_of_commits
number of commits,number_of_commits
I want to know the number of commits in the repository,number_of_commits
provide me with the total number of commits,number_of_commits
commits count?,number_of_commits
please let me know the number of commits in the repo,number_of_commits
total number of commits?,number_of_commits
please let me know the number of forks in the repo,number_of_forks
total number of forks?,number_of_forks
what is the number of forks that we have?,number_of_forks
forks count?,number_of_forks
give the number of forks I have in repository,number_of_forks
number of forks?,number_of_forks
count for me the number of forks,number_of_forks
total number of subscribers?,number_of_subscribers
how many subscribers in total?,number_of_subscribers
number of subscribers?,number_of_subscribers
in this repository what is the total count of subscribers,number_of_subscribers
subscribers count?,number_of_subscribers
count for me the number of subscribers,number_of_subscribers
count for me the number of subscribers that I have,number_of_subscribers
how many subscribers in total does the repository have?,number_of_subscribers
give me the subscriber count in my repoisotry,number_of_subscribers
let me know how many subscribers are in the repository,number_of_subscribers
give the number of subscribers I have in repository,number_of_subscribers
count the repository subscribers,number_of_subscribers
give me a count of all the subscribers,number_of_subscribers
who are the contributors?,list_collaborators
list all the collaborators,list_collaborators
give me a list of all the collaborators to the repository,list_collaborators
Who are the repository collaborators?,list_collaborators
Who are the repository contributors?,list_collaborators
list the names of all the contributors?,list_collaborators
give me all the collaborators?,list_collaborators
give me all the contributors?,list_collaborators
give the number of downloads I have in repository,number_of_downloads
how many downloads in total does the repository have?,number_of_downloads
how many downloads do I have,number_of_downloads
what is the number of downloads that we have in repository?,number_of_downloads
number of downloads?,number_of_downloads
give me the download count in my repoisotry,number_of_downloads
please let me know the number of downloads in the repo,number_of_downloads
count the repository downloads,number_of_downloads
how many downloads for the repository?,number_of_downloads
How many downloads?,number_of_downloads
count all the downloads for me,number_of_downloads
how many downloads in total?,number_of_downloads
how many downloads do we have?,number_of_downloads
I want to know the number of downloads for the repository,number_of_downloads
