command,intent
list releases,list_releases
give me a list of the releases in the repository,list_releases
what were the main events from the last day,activity_report
What happened in the last 24 hours,activity_report
when was issue 674 resolved,issue_closing_date
when was issue 24 closed,issue_closing_date
when did we close issue 4783,issue_closing_date
What was the date of closing pr 4,pr_closing_date
closing date pull request 860,pr_closing_date
what is the base branch in this repository?,default_branch
give me the name of the default branch in the repository?,default_branch
give me the main branch in the repository?,default_branch
let me know which branch is the main one?,default_branch
Which branch is considered to be the base one?,default_branch
show me the linked commits to issue 84161,issue_related_commits
issue 13 related commits?,issue_related_commits
in which commits was issue 964?,issue_related_commits
commits related to issue 3234,issue_related_commits
show me commits linked to this issue 3234?,issue_related_commits
give me the commits that mentioned issue 888?,issue_related_commits
commits that mentioned issue 6744,issue_related_commits
In this repository, how many forks do I have?,number_of_forks
how many forks do we have?,number_of_forks
how many forks in total does the repository have?,number_of_forks
let me know how many forks are in the repository,number_of_forks
provide me with the total number of stars,number_of_stars
what is the number of stars that we have?,number_of_stars
count for me the number of stars that I have,number_of_stars
stars count,number_of_stars
In this repository, how many stars do I have?,number_of_stars
How many stars?,number_of_stars
give me a count of all the stars,number_of_stars
let me know how many stars are in the repository,number_of_stars
give the number of stars I have in repository,number_of_stars
how many stars do I have?,number_of_stars
