command,intent
Who is assigned to issue 64,issue_assignees
how many commits are in the branch rel-1.3.0?,number_of_commits_in_branch
How many developers have commited to this repo,number_of_collaborators
who has the first commit in branch xxyx,intial_commit_in_branch
How many commits has Khaled made,contributions_by_developer
largest file in size,largest_files
what is the latest release for the repository,latest_release
tell me what the last pushed commit is,latest_commit
show me the longest open pull request,longest_open_pr
longest open issue,longest_open_issue
daily report,activity_report
What was the date of creation issue 4,issue_creation_date
number of closed prs,number_of_prs
At what time was the pull request 2315 opened,pr_creation_date
count open issues,number_of_issues
give me a list of files that were changed by pull request 564,files_changed_by_pr
who contributed the most to this repository,top_contributors
who are the contributors to pr 964,pr_contributors
who authored the 1st commit,intial_commit
who has the initial commit in the repository,intial_commit
list recent prs,most_recent_prs
most recent pull requests,most_recent_prs
latest opened issues,most_recent_issues
newest issues,most_recent_issues
At what time was pull request 2315 closed,pr_closing_date
What was the date of closing pr 4,pr_closing_date
show me the closing date for issue 3,issue_closing_date
What was the date of closing issue 4,issue_closing_date
show me who opned issue 1235,issue_creator
who opened issue 6744,issue_creator
creator of pull request 3234,pr_creator
who opened pr 9521,pr_creator
give me the user that merged pr 888,pr_closer
closer of issue 3234,issue_closer
who closed issue 9521,issue_closer
how many watchers,number_of_watchers
main branch?,default_branch
which branch is deafualt out of the ones we have?,list_branches
what programming language is most used?,main_programming_language
Who owns the repository?,repository_owner
who owns the repository?,repository_owner
I would like to know the repository license,repository_license
what are the topics for the repository ?,repository_topics
repository topics,repository_topics
issue 774 commenters,issue_contributors
who touched 98,issue_contributors
what is the creation dete for the repository,repository_creation_date
project creation date,repository_creation_date
who created file index.js?,file_creator
who created file readme.md in the repository?,file_creator
what branches do I have,list_branches
what are the branches that are in the repository?,list_branches
give me a list of all the commits where issue 1235 was mentioned,issue_related_commits
give me a the commits linked to issue 564,issue_related_commits
In this repository, how many commits do I have?,number_of_commits
count for me the number of commits,number_of_commits
provide me with the total number of commits,number_of_commits
total number of branches?,number_of_branches
how many branches do I have?,number_of_branches
How many branches?,number_of_branches
provide me with the total number of stars,number_of_stars
let me know how many stars are in the repository,number_of_stars
How many stars?,number_of_stars
count for me the number of forks,number_of_forks
give the number of forks I have in repository,number_of_forks
I want to know the number of forks in the repository,number_of_forks
number of subscribers?,number_of_subscribers
let me know how many subscribers are in the repository,number_of_subscribers
number of subscribers,number_of_subscribers
give me all the collaborators?,list_collaborators
list all the collaborators,list_collaborators
give me a list of all the collaborators to the repository,list_collaborators
how many downloads do I have,number_of_downloads
how many downloads in total?,number_of_downloads
give the number of downloads I have in repository,number_of_downloads
