command,intent
number of commits in the branch the-branch-name,number_of_commits_in_branch
commits in branch xywz,number_of_commits_in_branch
How many developers have commited to this repo,number_of_collaborators
How many commits does George have,contributions_by_developer
How many commits has Khaled made,contributions_by_developer
Did Ben make alot of contributions to this repository ?,contributions_by_developer
What are the programming languages used in the repo,list_languages
list the languages,list_languages
top languages,list_languages
what is the last commit in the clean_tool branch,latest_commit_in_branch
the latest commit in the branch master,latest_commit_in_branch
the last commit to the XvX branch,latest_commit_in_branch
which pr has remained unmerged the longest period of time,longest_open_pr
what is the longest open pull request,longest_open_pr
which pull request was open for the longest amount of time,longest_open_pr
what were the main events from the last day,activity_report
What happened in the last 24 hours,activity_report
count issues,number_of_issues
number of closed issues,number_of_issues
bug report,number_of_issues
when was the most recent PR?,most_recent_prs
What was the date of closing pr 4,pr_closing_date
closing date pull request 860,pr_closing_date
show me issue 84161 creator,issue_creator
issue 774 opener,issue_creator
who is the developer that opened issue 964,issue_creator
show me who opned issue 1235,issue_creator
give me a the developer name who created issue 564,issue_creator
who opened pr 9521,pr_creator
who created pull request 6744,pr_creator
show me pull request 84161 creator,pr_creator
pr 774 opener,pr_creator
give me the user that opened pr 888,pr_creator
what is the base branch in this repository?,default_branch
give me the name of the default branch in the repository?,default_branch
give me the main branch in the repository?,default_branch
let me know which branch is the main one?,default_branch
Which branch is considered to be the base one?,default_branch
To whom does this repo belong?,repository_owner
what programming language is most used?,main_programming_language
most used programming language,main_programming_language
Tell me the dominant programming language,main_programming_language
What programming language is most used in this repository,main_programming_language
what is the main language,main_programming_language
let me know which programming language is most used,main_programming_language
commits count?,number_of_commits
number of commits?,number_of_commits
count all the commits for me,number_of_commits
count for me the number of commits,number_of_commits
count for me the number of forks that I have,number_of_forks
count for me the number of forks,number_of_forks
forks count?,number_of_forks
give the number of forks I have in repository,number_of_forks
please let me know the number of forks in the repo,number_of_forks
number of forks?,number_of_forks
