command,intent
Who is the assignee on issue 121,issue_assignees
who has the most open issues,developers_with_most_open_issues
developers with most open issues,developers_with_most_open_issues
list the repository releases,list_releases
count the number of commits in branch TheBranch,number_of_commits_in_branch
how many commits are in branch X,number_of_commits_in_branch
who last changed main.py,last_developer_to_touch_a_file
show me the last person to change actions.java,last_developer_to_touch_a_file
pr 347 assignees,pr_assignees
assignee of pr 24,pr_assignees
How many developers have worked on this repository ?,number_of_collaborators
number of contributers,number_of_collaborators
list the languages,list_languages
technologies and languages used in the repo,list_languages
initial commmit in branch,list_branches
the inital commit for branch dev1,intial_commit_in_branch
Did Ben make alot of contributions to this repository ?,contributions_by_developer
How many commits does dev have,contributions_by_developer
what are the commits in pull request 964,commits_in_pr
pull request 6744 related commits,commits_in_pr
large files,largest_files
largest file in size,largest_files
the last commit,latest_commit
when was the last commit made,latest_commit
longest open pr,longest_open_pr
show me the longest open pull request,longest_open_pr
when was the latest release published,latest_release
latest release,latest_release
who commited last to the master branch,latest_commit_in_branch
what is the last commit in the clean_tool branch,latest_commit_in_branch
the latest commit in the branch master,latest_commit_in_branch
which issue has been open for the longest time,longest_open_issue
which issue has been open the longest,longest_open_issue
progress report,activity_report
daily report,activity_report
give me a report from the last day?,activity_report
first commit,intial_commit
who made the 1st commited,intial_commit
At what time was the pull request 2315 opened,pr_creation_date
pr 546 creation date,pr_creation_date
When was pull request 1109 opened,pr_creation_date
can you tell me the date 2 was opened ?,issue_creation_date
At what time was issue 2315 opened,issue_creation_date
When did issue 214 open,issue_creation_date
How many open issues,number_of_issues
For this repo, show me the the number of open issues,number_of_issues
How many bugs are currently open,number_of_issues
give me a list of new pull requests,most_recent_prs
what are the most recent pull requests,most_recent_prs
show me the newest pull requests in the repository,most_recent_prs
what files were changed in pr 6744,files_changed_by_pr
list me the files affected by pr number 4,files_changed_by_pr
what files has this pr 69 touched,files_changed_by_pr
show me the list of the top contributers,top_contributors
who has the most commits,top_contributors
list the top contributors,top_contributors
show me the latest issues,most_recent_issues
show me the newest issues in the repository,most_recent_issues
most recent issues,most_recent_issues
when was pr 24 closed,pr_closing_date
At what time was pull request 2315 closed,pr_closing_date
What was the date of closing pr 4,pr_closing_date
What was the date when pr 432 was merged,pr_closing_date
When was issue 1109 closed,issue_closing_date
At what time was issue 2315 closed,issue_closing_date
when was issue 24 closed,issue_closing_date
show me who opned issue 1235,issue_creator
who created issue 9521,issue_creator
who is the developer that opened issue 964,issue_creator
give me the user that opened issue 888,issue_creator
who are the people who commented on pr 9521,pr_contributors
who are the contributors to pr 964,pr_contributors
give me names of all the contributors to pr 123,pr_contributors
show me who opned pull request 1235,pr_creator
who is the developer that started pull request 964,pr_creator
who created pull request 6744,pr_creator
who authored pull request 3?,pr_creator
pr 13 closer,pr_closer
show me who closed pull request 1235,pr_closer
give me a the developer name who closed pull request 564,pr_closer
give me a the developer name who closed issue 564,issue_closer
who resolved issue 9521,issue_closer
who is responsible for closing issue 44,issue_closer
show me who closed issue 74,issue_closer
Which branch is considered to be the base one?,default_branch
give me the name of the default branch in the repository?,default_branch
what is the base branch in this repository?,default_branch
can you give me the name of the repository owner,repository_owner
who owns repository?,repository_owner
Who owns the repository?,repository_owner
who owns the repository?,repository_owner
how many watchers,number_of_watchers
count the repository watchers,number_of_watchers
how many watchers for the repository?,number_of_watchers
watchers count?,number_of_watchers
which language are we using the most?,main_programming_language
Main programming language?,main_programming_language
give me the main programming language,main_programming_language
most used programming language,main_programming_language
I would like to know the repository license,repository_license
repository license,repository_license
what is the repository legal license?,repository_license
give me the license for the repository,repository_license
show me who helped on issue 1235,issue_contributors
show me the developers who commented on issue 888,issue_contributors
who are the contributors to issue 964,issue_contributors
give me names of all the contributors to issue 123,issue_contributors
list me all the topics for this repository,repository_topics
what are the topics for the repository ?,repository_topics
give me the topics for this repository,repository_topics
what topics do we have,repository_topics
what topics does my repository have?,repository_topics
give me the creation date for the repository,repository_creation_date
project creation date,repository_creation_date
I would like to know the date that we start this project,repository_creation_date
when did we create the repository,repository_creation_date
who created file readme.md in the repository?,file_creator
who created map.json?,file_creator
who first added this file domain.yml ?,file_creator
name the developer who created file users.db,file_creator
show me who created the file bridge.py,file_creator
developer who created constant.txt,file_creator
list me the commits that mentioned issue 888,issue_related_commits
what commits are related to 3234?,issue_related_commits
which commits in the repository are linked to issue 84161?,issue_related_commits
issue 13 related commits?,issue_related_commits
list commits that mention issue 84161,issue_related_commits
give me a list of all the branches in the repository,list_branches
what branches are available right now?,list_branches
what are the branches in the repository,list_branches
let me know the names of all branches,list_branches
give me the branches that we have,list_branches
what are the branches that are in the repository?,list_branches
How many branches?,number_of_branches
how many branches do I have?,number_of_branches
count for me the number of branches that I have,number_of_branches
total number of branches?,number_of_branches
please let me know the number of branches in the repo,number_of_branches
how many branches,number_of_branches
in this repository what is the total count of branches,number_of_branches
number of commits,number_of_commits
give the number of commits I have in repository,number_of_commits
number of commits?,number_of_commits
in this repository what is the total count of commits,number_of_commits
count for me the number of commits,number_of_commits
total number of commits?,number_of_commits
count for me the number of commits that I have,number_of_commits
count all the forks for me,number_of_forks
count for me the number of forks that I have,number_of_forks
what is the number of forks,number_of_forks
how many forks,number_of_forks
how many forks in total does the repository have?,number_of_forks
In this repository, how many forks do I have?,number_of_forks
How many forks?,number_of_forks
count for me the number of stars,number_of_stars
give the number of stars I have in repository,number_of_stars
how many stars do we have?,number_of_stars
stars count?,number_of_stars
number of stars?,number_of_stars
count the repository stars,number_of_stars
count for me the number of stars that I have,number_of_stars
how many subscribers in total does the repository have?,number_of_subscribers
give the number of subscribers I have in repository,number_of_subscribers
please let me know the number of subscribers in the repo,number_of_subscribers
how many subscribers do we have?,number_of_subscribers
count the repository subscribers,number_of_subscribers
what is the number of subscribers,number_of_subscribers
number of subscribers?,number_of_subscribers
subscribers count?,number_of_subscribers
list who worked on this project,list_collaborators
give me all the collaborators?,list_collaborators
list the names of all the contributors?,list_collaborators
who contributed to our project?,list_collaborators
let me know who contributed to the repository,list_collaborators
please give me the names of the repository collaborators,list_collaborators
who collaborated on repository?,list_collaborators
number of downloads,number_of_downloads
how many downloads for the repository?,number_of_downloads
count all the downloads for me,number_of_downloads
how many downloads do we have?,number_of_downloads
How many downloads?,number_of_downloads
I want to know the number of downloads for the repository,number_of_downloads
how many downloads in total?,number_of_downloads
number of downloads?,number_of_downloads
