command,intent
I want to have a list of developers with open issues,developers_with_most_open_issues
which developers are overloaded with open issues,developers_with_most_open_issues
list releases,list_releases
give me a list of the releases in the repository,list_releases
who was the last developer to change file index.js,last_developer_to_touch_a_file
who last commited with file readme.md,last_developer_to_touch_a_file
show me the last person to change actions.java,last_developer_to_touch_a_file
number of commits in the branch the-branch-name,number_of_commits_in_branch
commits in branch xywz,number_of_commits_in_branch
Who is assigned to pr 64,pr_assignees
Who should fix pull request 1,pr_assignees
which developers should work on pull request 5,pr_assignees
How many developers have commited to this repo,number_of_collaborators
number of contributers,number_of_collaborators
How many commits does George have,contributions_by_developer
How many commits has Khaled made,contributions_by_developer
Did Ben make alot of contributions to this repository ?,contributions_by_developer
when was the first commit made in the master branch,intial_commit_in_branch
initial commmit in branch,list_branches
who has the first commit to the add-ons branch,intial_commit_in_branch
What are the commits for pr 6744,commits_in_pr
pr 13 related commits,commits_in_pr
what are the commits in pull request 964,commits_in_pr
List me the file with the most lines of code,largest_files
longest file size,largest_files
file with most LOC,largest_files
latest release,latest_release
newest release,latest_release
what is the newest code release,latest_release
what is the last commit in the clean_tool branch,latest_commit_in_branch
the latest commit in the branch master,latest_commit_in_branch
the last commit to the XvX branch,latest_commit_in_branch
which pr has remained unmerged the longest period of time,longest_open_pr
what is the longest open pull request,longest_open_pr
which pull request was open for the longest amount of time,longest_open_pr
who made the last commit,latest_commit
the most recent commit,latest_commit
when was the last commit made,latest_commit
issue that has been open for a long time,longest_open_issue
show me the longest open issue,longest_open_issue
which issue was open for the longest amount of time,longest_open_issue
oldest open issue ?,longest_open_issue
what were the main events from the last day,activity_report
daily report,activity_report
What happened in the last 24 hours,activity_report
what is the number of closed pull requests,number_of_prs
number of closed prs,number_of_prs
count open pull requests,number_of_prs
show me the creation date for issue 3,issue_creation_date
creation date issue 860,issue_creation_date
At what time was issue 2315 opened,issue_creation_date
What was the date of creation issue 4,issue_creation_date
pr 546 creation date,pr_creation_date
What was the date when pull request with number 432 was created,pr_creation_date
pull request 546 creation date,pr_creation_date
when did we open pr 4783,pr_creation_date
count issues,number_of_issues
number of closed issues,number_of_issues
bug report,number_of_issues
list me the files affected by pr number 4,files_changed_by_pr
give me a list of files that were changed by pull request 564,files_changed_by_pr
file changes by pull request 74,files_changed_by_pr
what files were changed in pr 6744,files_changed_by_pr
when was the most recent PR?,most_recent_prs
what are the most recent pull requests,most_recent_prs
show me the most recent prs,most_recent_prs
list the recent open pull requests,most_recent_prs
latest issues,most_recent_issues
newest issues,most_recent_issues
what are the newest issues,most_recent_issues
latest opened issues,most_recent_issues
most recent issues,most_recent_issues
who has the most commits,top_contributors
who has the highest number of commits,top_contributors
show me the list of the top contributers,top_contributors
list the top contributors,top_contributors
show me the closing date for issue 3,issue_closing_date
when was issue 674 resolved,issue_closing_date
when was issue 24 closed,issue_closing_date
when did we close issue 4783,issue_closing_date
What was the date of closing pr 4,pr_closing_date
closing date pull request 860,pr_closing_date
show me issue 84161 creator,issue_creator
issue 774 opener,issue_creator
who is the developer that opened issue 964,issue_creator
show me who opned issue 1235,issue_creator
give me a the developer name who created issue 564,issue_creator
give me names of all the commenters on pr 6681,pr_contributors
show me pr 84161 contributors,pr_contributors
show me the developers who commented on pr 888,pr_contributors
pr 774 commenters,pr_contributors
who are the people who commented on pr 9521,pr_contributors
who opened pr 9521,pr_creator
who created pull request 6744,pr_creator
show me pull request 84161 creator,pr_creator
pr 774 opener,pr_creator
give me the user that opened pr 888,pr_creator
what is the base branch in this repository?,default_branch
give me the name of the default branch in the repository?,default_branch
give me the main branch in the repository?,default_branch
let me know which branch is the main one?,default_branch
Which branch is considered to be the base one?,default_branch
To whom does this repo belong?,repository_owner
number of watchers,number_of_watchers
watchers count?,number_of_watchers
how many watchers do we have?,number_of_watchers
count for me the number of watchers,number_of_watchers
how many watchers for the repository?,number_of_watchers
what programming language is most used?,main_programming_language
most used programming language,main_programming_language
Tell me the dominant programming language,main_programming_language
What programming language is most used in this repository,main_programming_language
what is the main language,main_programming_language
let me know which programming language is most used,main_programming_language
can I know the licences of the repository,repository_license
legal license?,repository_license
give me the license for the repository,repository_license
What licences do we have?,repository_license
what is the license for the repository ?,repository_license
give me names of all the commenters on issue 6681,issue_contributors
show me the developers who commented on issue 888,issue_contributors
who touched 98,issue_contributors
who contributed to issue 6744,issue_contributors
people that worked on 888,issue_contributors
list all the developers who commented on issue 3,issue_contributors
what topics do we have,repository_topics
topics for this repository?,repository_topics
what are the repository topics,repository_topics
repository topics,repository_topics
