command,intent
can you tell me what the latest commit was in this branch play_tests,latest_commit_in_branch
who made the last commit in master,latest_commit_in_branch
last in commit in branch XYZ,latest_commit_in_branch
when was the last commit made in ths branch,latest_commit_in_branch
When was issue 1109 opened,issue_creation_date
count issues,number_of_issues
number of issues,number_of_issues
count open issues,number_of_issues
please provide a report about closed issues in the repo,number_of_issues
For this repo, show me the the number of open issues,number_of_issues
show me issue 84161 creator,issue_creator
show me who opned issue 1235,issue_creator
who created issue 6744,issue_creator
who created issue 9521,issue_creator
creator of issue 3234,issue_creator
who opened issue 6744,issue_creator
show me pull request 84161 creator,pr_creator
who authored pull request 3?,pr_creator
give me the user that opened pr 888,pr_creator
who opened pr 9521,pr_creator
give me a the developer name who created pull request 564,pr_creator
who created pull request 9521,pr_creator
give me the main programming language,main_programming_language
Tell me the dominant programming language,main_programming_language
I'd like to know the main programming language,main_programming_language
which programming language do we use the most?,main_programming_language
Main programming language?,main_programming_language
what is the main language in the repository?,main_programming_language
I'd like to know the most used programming language,main_programming_language
To whom does this repo belong?,repository_owner
