command,intent
who has the most open issues,developers_with_most_open_issues
list releases,list_releases
give me a list of the releases in the repository,list_releases
how many commits are in branch X,number_of_commits_in_branch
How much did John contribute to the respository ?,contributions_by_developer
How many contributions does Makram have,contributions_by_developer
How many commits has Khaled made,contributions_by_developer
pr 13 related commits,commits_in_pr
pull request 6744 related commits,commits_in_pr
show me commits linked to pr 74,commits_in_pr
show me pull request 84161 related commits,commits_in_pr
last release,latest_release
latest release,latest_release
what is the latest release for the repository,latest_release
give me the last release for the repository,latest_release
can you tell me what the latest commit was in this branch play_tests,latest_commit_in_branch
who made the last commit in master,latest_commit_in_branch
last in commit in branch XYZ,latest_commit_in_branch
when was the last commit made in ths branch,latest_commit_in_branch
pull request that has been open for a long time,longest_open_pr
what is the longest open pull request,longest_open_pr
which pull request was open for the longest amount of time,longest_open_pr
which pr has remained unmerged the longest period of time,longest_open_pr
what is the longest open issue,longest_open_issue
oldest open issue ?,longest_open_issue
which issue was open for the longest amount of time,longest_open_issue
which issue has been left unresolved for the most amount of time ?,longest_open_issue
show me the report for the day,activity_report
give me a report from the last day?,activity_report
what were the main events from the last day,activity_report
What happened in the last 24 hours,activity_report
For this repo, show me the the number of open prs,number_of_prs
How many open prs,number_of_prs
At what time was the pull request 2315 opened,pr_creation_date
What was the date of creation for pr 4,pr_creation_date
pr 546 creation date,pr_creation_date
show me the most recent prs,most_recent_prs
what are the most recent pull requests,most_recent_prs
give me a list of the most recent prs,most_recent_prs
most recent pull requests,most_recent_prs
show me the latest prs,most_recent_prs
list recent prs,most_recent_prs
pr 13 changed files,files_changed_by_pr
what files were changed in pr 6744,files_changed_by_pr
what files has this pr 69 touched,files_changed_by_pr
what are the file changes introduced by 6744,files_changed_by_pr
file changes by pull request 74,files_changed_by_pr
pull request 546 close date,pr_closing_date
At what time was pull request 2315 closed,pr_closing_date
when did we resolve issue 3907,issue_closing_date
when was issue 674 resolved,issue_closing_date
show me pull request 84161 creator,pr_creator
who authored pull request 3?,pr_creator
give me the user that opened pr 888,pr_creator
who opened pr 9521,pr_creator
give me a the developer name who created pull request 564,pr_creator
who created pull request 9521,pr_creator
count for me the number of watchers,number_of_watchers
how many people are watching the repository?,number_of_watchers
watchers count?,number_of_watchers
how many watchers in total?,number_of_watchers
How many watchers?,number_of_watchers
number of watchers?,number_of_watchers
give me the main programming language,main_programming_language
Tell me the dominant programming language,main_programming_language
I'd like to know the main programming language,main_programming_language
which programming language do we use the most?,main_programming_language
Main programming language?,main_programming_language
what is the main language in the repository?,main_programming_language
I'd like to know the most used programming language,main_programming_language
let me know which branch is the main one?,default_branch
what is the base branch in the repository,default_branch
what is the default branch here?,default_branch
Default branch?,default_branch
what is the default branch,default_branch
what is the main branch in this repository,default_branch
To whom does this repo belong?,repository_owner
can I know the licences of the repository,repository_license
what is the legal license in this repository?,repository_license
give me the legal licence,repository_license
What licences do we have?,repository_license
legal license?,repository_license
I would like to know the repository license,repository_license
I want to know the licences in our repository,repository_license
who are the contributors to issue 964,issue_contributors
show me who contributed to issue 74,issue_contributors
contributors to issue 3234,issue_contributors
give me names of all the commenters on issue 6681,issue_contributors
show me the developers who commented on issue 888,issue_contributors
issue 774 commenters,issue_contributors
who worked on 33,issue_contributors
who created file pyproject.toml in repository,file_creator
who created the file index.js?,file_creator
who added the file response.java ?,file_creator
which developer created file main.py?,file_creator
give me the name of the developer who created file index.html,file_creator
name the developer who created file users.db,file_creator
who first added this file domain.yml ?,file_creator
who created this file index.js,file_creator
who was the creator of this file server.rb?,file_creator
show me who created the file bridge.py,file_creator
show me the linked commits to issue 84161,issue_related_commits
in which commits was issue 964?,issue_related_commits
list commits that mention issue 84161,issue_related_commits
what commits are related to 3234?,issue_related_commits
what commits were mentioned issue 74?,issue_related_commits
issue 13 related commits?,issue_related_commits
which commits in the repository are linked to issue 84161?,issue_related_commits
commits that mentioned issue 6744,issue_related_commits
give me a the commits linked to issue 564,issue_related_commits
how many forks in total does the repository have?,number_of_forks
I would like to know how many forks are there in total?,number_of_forks
In this repository, how many forks do I have?,number_of_forks
let me know how many forks are in the repository,number_of_forks
how many forks do I have?,number_of_forks
how many forks in the repository?,number_of_forks
