command,intent
number of commits in the branch the-branch-name,number_of_commits_in_branch
commits in branch xywz,number_of_commits_in_branch
How many developers have commited to this repo,number_of_collaborators
How many commits does George have,contributions_by_developer
How many commits has Khaled made,contributions_by_developer
Did Ben make alot of contributions to this repository ?,contributions_by_developer
What are the programming languages used in the repo,list_languages
list the languages,list_languages
top languages,list_languages
when was the first commit made in the master branch,intial_commit_in_branch
who has the first commit to the add-ons branch,intial_commit_in_branch
What are the commits for pr 6744,commits_in_pr
pr 13 related commits,commits_in_pr
what are the commits in pull request 964,commits_in_pr
what is the last commit in the clean_tool branch,latest_commit_in_branch
the latest commit in the branch master,latest_commit_in_branch
the last commit to the XvX branch,latest_commit_in_branch
which pr has remained unmerged the longest period of time,longest_open_pr
what is the longest open pull request,longest_open_pr
which pull request was open for the longest amount of time,longest_open_pr
who made the last commit,latest_commit
the most recent commit,latest_commit
when was the last commit made,latest_commit
what were the main events from the last day,activity_report
What happened in the last 24 hours,activity_report
what is the number of closed pull requests,number_of_prs
number of closed prs,number_of_prs
count open pull requests,number_of_prs
show me the creation date for issue 3,issue_creation_date
creation date issue 860,issue_creation_date
At what time was issue 2315 opened,issue_creation_date
What was the date of creation issue 4,issue_creation_date
what is the first commit ever,intial_commit
can you tell me what the intial commit was,intial_commit
when was the first commit made,intial_commit
who commited first to the repo,intial_commit
count issues,number_of_issues
How many bugs are currently open,number_of_issues
number of closed issues,number_of_issues
bug report,number_of_issues
list me the files affected by pr number 4,files_changed_by_pr
give me a list of files that were changed by pull request 564,files_changed_by_pr
file changes by pull request 74,files_changed_by_pr
what files were changed in pr 6744,files_changed_by_pr
when was the most recent PR?,most_recent_prs
what are the most recent pull requests,most_recent_prs
show me the most recent prs,most_recent_prs
list the recent open pull requests,most_recent_prs
was issue 24 closed ?,issue_closer
What was the date of closing pr 4,pr_closing_date
closing date pull request 860,pr_closing_date
show me issue 84161 creator,issue_creator
issue 774 opener,issue_creator
who is the developer that opened issue 964,issue_creator
show me who opned issue 1235,issue_creator
give me a the developer name who created issue 564,issue_creator
who opened pr 9521,pr_creator
who created pull request 6744,pr_creator
show me pull request 84161 creator,pr_creator
pr 774 opener,pr_creator
give me the user that opened pr 888,pr_creator
closer of pull request 3234,pr_closer
give me a the developer name who closed pull request 564,pr_closer
give me the user that merged pr 888,pr_closer
show me who closed pr 74,pr_closer
who closed pr 6744,pr_closer
who resolved issue 6744,issue_closer
resolver of issue 3234,issue_closer
closer of issue 3234,issue_closer
issue 13 closer,issue_closer
who is the developer that resolved issue 964,issue_closer
what is the base branch in this repository?,default_branch
give me the name of the default branch in the repository?,default_branch
give me the main branch in the repository?,default_branch
let me know which branch is the main one?,default_branch
Which branch is considered to be the base one?,default_branch
To whom does this repo belong?,repository_owner
what programming language is most used?,main_programming_language
most used programming language,main_programming_language
Tell me the dominant programming language,main_programming_language
What programming language is most used in this repository,main_programming_language
what is the main language,main_programming_language
let me know which programming language is most used,main_programming_language
commits count?,number_of_commits
number of commits?,number_of_commits
count all the commits for me,number_of_commits
count for me the number of commits,number_of_commits
count for me the number of forks that I have,number_of_forks
count for me the number of forks,number_of_forks
forks count?,number_of_forks
give the number of forks I have in repository,number_of_forks
please let me know the number of forks in the repo,number_of_forks
number of forks?,number_of_forks
please let me know the number of subscribers in the repo,number_of_subscribers
How many subscribers?,number_of_subscribers
give me the subscriber count in my repoisotry,number_of_subscribers
number of subscribers?,number_of_subscribers
let me know how many subscribers are in the repository,number_of_subscribers
how many subscribers in total?,number_of_subscribers
subscribers count,number_of_subscribers
count for me the number of subscribers,number_of_subscribers
provide me with the total number of subscribers,number_of_subscribers
in this repository what is the total count of subscribers,number_of_subscribers
please give me the names of the repository collaborators,list_collaborators
give me all the contributors?,list_collaborators
list the names of all the contributors?,list_collaborators
give me a list of all the collaborators to the repository,list_collaborators
give me a count of all the downloads,number_of_downloads
total number of downloads?,number_of_downloads
how many downloads do I have?,number_of_downloads
count all the downloads for me,number_of_downloads
what is the number of downloads that we have in repository?,number_of_downloads
how many downloads for the repository?,number_of_downloads
provide me with the total number of downloads,number_of_downloads
how many downloads do we have?,number_of_downloads
how many downloads in total does the repository have?,number_of_downloads
How many downloads?,number_of_downloads
count the repository downloads,number_of_downloads
