command
I want to have a list of developers with open issues,developers_with_most_open_issues
who has the most open issues,developers_with_most_open_issues
I want a list of repository releases,list_releases
list the repository releases,list_releases
Who is the assignee on issue 121,issue_assignees
Who is assigned to issue 64,issue_assignees
developer who most recently changed constant.txt,last_developer_to_touch_a_file
who last changed main.py,last_developer_to_touch_a_file
show me the last person to change actions.java,last_developer_to_touch_a_file
how many commits are in the branch rel-1.3.0?,number_of_commits_in_branch
count the number of commits in branch TheBranch,number_of_commits_in_branch
which developers should work on pull request 5,pr_assignees
Who should fix pull request 1,pr_assignees
Who is the assignee on the pull request 121,pr_assignees
number of contributers,number_of_collaborators
How many developers have commited to this repo,number_of_collaborators
Did Ben make alot of contributions to this repository ?,contributions_by_developer
How many commits has Khaled made,contributions_by_developer
How many commits does dev have,contributions_by_developer
top languages,list_languages
What are the programming languages used in the repo,list_languages
What are the technologies that are used in this repository ?,list_languages
when was the first commit made in the master branch,intial_commit_in_branch
initial commmit in branch,intial_commit_in_branch
the inital commit for branch dev1,intial_commit_in_branch
show me pull request 84161 related commits,commits_in_pr
what are the commits linked to pr 6744,commits_in_pr
what are the commits in pull request 964,commits_in_pr
Bigest file in the repository,largest_files
largest file in size,largest_files
biggest file,largest_files
newest release,latest_release
what is the newest code release,latest_release
what is the latest release for the repository,latest_release
who made the last commit in master,latest_commit_in_branch
the last commit to the XvX branch,latest_commit_in_branch
can you tell me what the latest commit was in this branch play_tests,latest_commit_in_branch
which pr has remained unmerged the longest period of time,longest_open_pr
which pull request was open for the longest amount of time,longest_open_pr
what is the longest open pull request,longest_open_pr
the last commit,latest_commit
the latest commit,latest_commit
what is the last commit in the repository,latest_commit
oldest open issue ?,longest_open_issue
which issue has been left unresolved for the most amount of time ?,longest_open_issue
what is the longest open issue,longest_open_issue
which issue has been open the longest,longest_open_issue
give me a report from the last day?,activity_report
What were the recent events in the repository,activity_report
what were the main events from the last day,activity_report
count pulls,number_of_prs
I want to know the number of pulls,number_of_prs
number of closed prs,number_of_prs
How many prs are currently open,number_of_prs
creation date issue 860,issue_creation_date
show me the creation date for issue 3,issue_creation_date
when did we open issue 4783,issue_creation_date
when was issue 24 created,issue_creation_date
who has the first commit,intial_commit
what is the first commit in the repository,intial_commit
first commit,intial_commit
the inital commit,intial_commit
when did we open pr 4783,pr_creation_date
At what time was the pull request 2315 opened,pr_creation_date
What was the date when pull request with number 432 was created,pr_creation_date
creation date of pr 860,pr_creation_date
Give me the bugs report,number_of_issues
what is the number of closed issues,number_of_issues
Give me the total number of issues in the repository,number_of_issues
count issues,number_of_issues
file diff for PR 89,files_changed_by_pr
list the changed files in pull request 964,files_changed_by_pr
what are the file changes introduced by 6744,files_changed_by_pr
what files were changed in pr 6744,files_changed_by_pr
what are the newest prs,most_recent_prs
give me a list of the most recent prs,most_recent_prs
show me the latest prs,most_recent_prs
when was the most recent PR?,most_recent_prs
what are the newest issues,most_recent_issues
show me the newest issues in the repository,most_recent_issues
latest opened issues,most_recent_issues
most recent issues,most_recent_issues
newest issues,most_recent_issues
contributors by commits,top_contributors
who is the top contributor,top_contributors
who has the highest number of commits,top_contributors
show me the list of the top contributers,top_contributors
when was issue 24 closed,issue_closing_date
When was issue 1109 closed,issue_closing_date
issue 546 closing date,issue_closing_date
At what time was issue 2315 closed,issue_closing_date
was issue 24 closed ?,issue_closing_date
when was pr 24 closed,pr_closing_date
When was pull request 1109 closed,pr_closing_date
show me the closing date for pull request 3,pr_closing_date
when did we close pr 4783,pr_closing_date
when was pull request 674 merged,pr_closing_date
creator of issue 3234,issue_creator
show me who created issue 74,issue_creator
who is the developer that opened issue 964,issue_creator
who opened issue 6744,issue_creator
give me a the developer name who created issue 564,issue_creator
list all the developers who commented on pr 3,pr_contributors
show me who contributed to pr 74,pr_contributors
pr 13 contributors,pr_contributors
give me names of all the contributors to pr 123,pr_contributors
who contributed to pr 6744,pr_contributors
creator of pull request 3234,pr_creator
who opened pr 6744,pr_creator
show me pull request 84161 creator,pr_creator
show me who created pr 74,pr_creator
who authored pull request 3?,pr_creator
who merged pr 3234,pr_closer
pr 13 closer,pr_closer
who closed pull request 9521,pr_closer
give me the user that merged pr 888,pr_closer
show me who closed pull request 1235,pr_closer
who closed issue 6744,issue_closer
show me issue 84161 closer,issue_closer
give me a the developer name who closed issue 564,issue_closer
who resolved issue 9521,issue_closer
issue 13 closer,issue_closer
Which branch is considered to be the base one?,default_branch
what is the main branch in this repository,default_branch
Which branch is considered as default,default_branch
what is the default branch here?,default_branch
give me the main branch in the repository?,default_branch
tell me the name of the repository owner,repository_owner
who has ownership over this repository,repository_owner
who owns repository?,repository_owner
who owns the repository?,repository_owner
which user owns this repository,repository_owner
how many watchers do we have?,number_of_watchers
count the repository watchers,number_of_watchers
How many watchers?,number_of_watchers
how many watchers in total?,number_of_watchers
what is the number of watchers,number_of_watchers
let me know which programming language is most used,main_programming_language
most used programming language,main_programming_language
Main programming language?,main_programming_language
I'd like to know the most used programming language,main_programming_language
give me the main programming language,main_programming_language
what is the main language,main_programming_language
what is the repository legal license?,repository_license
legal license?,repository_license
what is the legal license in this repository?,repository_license
what licences do I have in the repository?,repository_license
can I know the licences of the repository,repository_license
give me names of all the contributors to issue 123,issue_contributors
show me who contributed to issue 74,issue_contributors
show me issue 84161 contributors,issue_contributors
who are the contributors to issue 964,issue_contributors
who touched 98,issue_contributors
contributors to issue 3234,issue_contributors
what are the topics for the repository ?,repository_topics
what topics do we have in this repository?,repository_topics
can you give me the topics related to this repository,repository_topics
what topics are related to our repository?,repository_topics
what topics do we have,repository_topics
I'd like to know the repository topics,repository_topics
what topics does my repository have?,repository_topics
when did we create the repository,repository_creation_date
I would like to know the date that we start this project,repository_creation_date
at what date was the repository created?,repository_creation_date
I want to know th ecreation date of repository,repository_creation_date
when did this repository start,repository_creation_date
At what time was this project started?,repository_creation_date
who created this file index.js,file_creator
which developer started file actions.java?,file_creator
who was the creator of this file server.rb?,file_creator
who added the file response.java ?,file_creator
show me who created the file bridge.py,file_creator
who created file index.js?,file_creator
I would like to know who first created file tf_env_collect.sh?,file_creator
who first added this file domain.yml ?,file_creator
in which commits was issue 964?,issue_related_commits
which commits mentioned issue 9521,issue_related_commits
show me the related commits to issue 84161,issue_related_commits
list commits that mention issue 84161,issue_related_commits
show me commits related to this issue 3234?,issue_related_commits
what commits are related to 3234?,issue_related_commits
issue 13 related commits?,issue_related_commits
give me a list of the names of all branches in the repo?,list_branches
what are the names of all the branches,list_branches
what are the branches in the repository,list_branches
I want to know the names of the branches in the repository,list_branches
what branches are available right now?,list_branches
let me know the names of all branches,list_branches
what branches do I have,list_branches
list all branches please,list_branches
what is the number of branches,number_of_branches
number of branches,number_of_branches
in this repository what is the total count of branches,number_of_branches
I would like to know how many branches are there in total?,number_of_branches
How many branches?,number_of_branches
give the number of branches I have in repository,number_of_branches
