command
Who should fix issue 1,issue_assignees
Who is assigned to issue 64,issue_assignees
who is assigned to the largest number of open issues,developers_with_most_open_issues
I want to have a list of developers with open issues,developers_with_most_open_issues
developers with most open issues,developers_with_most_open_issues
list the repository releases,list_releases
I want a list of repository releases,list_releases
developer who most recently changed constant.txt,last_developer_to_touch_a_file
for file map.json who was the last to touch it,last_developer_to_touch_a_file
who was the last developer to change file index.js,last_developer_to_touch_a_file
number of commits in the branch the-branch-name,number_of_commits_in_branch
how many commits are in the documentation branch,number_of_commits_in_branch
how many commits are in the branch rel-1.3.0?,number_of_commits_in_branch
which developers should work on pull request 5,pr_assignees
Who is assigned to pr 64,pr_assignees
assignee of pr 24,pr_assignees
How many contributers ?,number_of_collaborators
How many collaborators ?,number_of_collaborators
how many contributors does this repository have,number_of_collaborators
number of contributers,number_of_collaborators
technologies and languages used in the repo,list_languages
top languages,list_languages
list the languages,list_languages
the inital commit for branch dev1,intial_commit_in_branch
what was the message of the first commit in branch master,intial_commit_in_branch
the inital commit for branch master,intial_commit_in_branch
when was the first commit made in the master branch,intial_commit_in_branch
How many commits does dev have,contributions_by_developer
How much did John contribute to the respository ?,contributions_by_developer
What is the total number of contributions that Linus has made to this repository,contributions_by_developer
show me pull request 84161 related commits,commits_in_pr
what are the commits in pull request 964,commits_in_pr
pr 13 related commits,commits_in_pr
give me a list of commits related to pull request 564,commits_in_pr
give me the biggest file in the repository,largest_files
largest file in size,largest_files
biggest file,largest_files
longest file size,largest_files
when was the latest release published,latest_release
last release,latest_release
latest release,latest_release
when did we last create a new release,latest_release
the last commit,latest_commit
the latest commit,latest_commit
who commited last,latest_commit
when was the last commit made,latest_commit
who commited last to the master branch,latest_commit_in_branch
who commited last in the feature_2 branch,latest_commit_in_branch
last in commit in branch XYZ,latest_commit_in_branch
the latest commit in the branch master,latest_commit_in_branch
show me the longest open pull request,longest_open_pr
Which pull requet has stayed open the longest,longest_open_pr
which pr has been open for the longest time,longest_open_pr
longest open pr,longest_open_pr
show me the longest open issue,longest_open_issue
which issue has been open the longest,longest_open_issue
which issue has been open for the longest time,longest_open_issue
what is the longest open issue,longest_open_issue
Give me the daily report,activity_report
give me a report from the last day?,activity_report
what were the main events from the last day,activity_report
show me the report for the day,activity_report
what happened yesterday,activity_report
when did we open issue 4783,issue_creation_date
What was the date when issue 432 was created,issue_creation_date
when was issue 24 created,issue_creation_date
can you tell me the date 2 was opened ?,issue_creation_date
creation date issue 860,issue_creation_date
the inital commit,intial_commit
first commit,intial_commit
can you tell me what the intial commit was,intial_commit
when was the first commit made,intial_commit
who has the first commit,intial_commit
How many prs are currently open,number_of_prs
I want to know the number of pulls,number_of_prs
number of closed prs,number_of_prs
Give me the total number of pulls in the repository,number_of_prs
count pulls,number_of_prs
pr 546 creation date,pr_creation_date
creation date of pr 860,pr_creation_date
when did we open pr 4783,pr_creation_date
What was the date of creation for pr 4,pr_creation_date
When was pull request 1109 opened,pr_creation_date
number of issues,number_of_issues
what is the number of closed issues,number_of_issues
bug report,number_of_issues
"For this repo, show me the the number of open issues",number_of_issues
count issues,number_of_issues
list the recent open pull requests,most_recent_prs
show me the latest prs,most_recent_prs
list recent prs,most_recent_prs
what are the newest prs,most_recent_prs
what are the most recent pull requests,most_recent_prs
most recent pull requests,most_recent_prs
file changes by pull request 74,files_changed_by_pr
give me a list of files that were changed by pull request 564,files_changed_by_pr
file diff for PR 89,files_changed_by_pr
list the changed files in pull request 964,files_changed_by_pr
show me a list of changed files in pr 6744,files_changed_by_pr
show me the latest issues,most_recent_issues
latest opened issues,most_recent_issues
newest issues,most_recent_issues
what are the most recent issues,most_recent_issues
show me the newest issues in the repository,most_recent_issues
what are the newest issues,most_recent_issues
list the top contributors,top_contributors
who are the top 10 contributors,top_contributors
who are the active developers?,top_contributors
contributors by commits,top_contributors
which developer contributed the most to the repository,top_contributors
who is the top contributor,top_contributors
when did we close pr 4783,pr_closing_date
show me the closing date for pull request 3,pr_closing_date
pr 546 closing date,pr_closing_date
when was pull request 674 merged,pr_closing_date
When was pull request 1109 closed,pr_closing_date
when did we merge pr 3907,pr_closing_date
issue 546 closing date,issue_closing_date
At what time was issue 2315 closed,issue_closing_date
was issue 24 closed ?,issue_closing_date
when did we resolve issue 3907,issue_closing_date
What was the date of closing issue 4,issue_closing_date
closing date issue 860,issue_closing_date
When did issue 214 finally close,issue_closing_date
issue 13 creator,issue_creator
give me a the developer name who created issue 564,issue_creator
show me issue 84161 creator,issue_creator
who opened issue 9521,issue_creator
creator of issue 3234,issue_creator
who opened issue 6744,issue_creator
who are the people who commented on pr 9521,pr_contributors
pr 774 commenters,pr_contributors
show me who helped on pr 1235,pr_contributors
pr 13 contributors,pr_contributors
give me names of all the contributors to pr 123,pr_contributors
who contributed to pr 6744,pr_contributors
give me names of all the commenters on pr 6681,pr_contributors
who opened pr 9521,pr_creator
show me who opned pull request 1235,pr_creator
pr 774 opener,pr_creator
give me the user that opened pr 888,pr_creator
creator of pull request 3234,pr_creator
pr 13 creator,pr_creator
show me pull request 84161 closer,pr_closer
who merged pr 3234,pr_closer
show me who closed pr 74,pr_closer
merger of pr 9521,pr_closer
give me the user that merged pr 888,pr_closer
who closed pull request 6744,pr_closer
give me a the developer name who closed pull request 564,pr_closer
I want to know the number of people watching the the repository,number_of_watchers
How many watchers?,number_of_watchers
number of watchers,number_of_watchers
how many watchers in total?,number_of_watchers
count the repository watchers,number_of_watchers
how many watchers,number_of_watchers
most used programming language,main_programming_language
I'd like to know the most used programming language,main_programming_language
give me the main programming language,main_programming_language
let me know which programming language is most used,main_programming_language
What programming language is most used in this repository,main_programming_language
what is the main language of this repository,main_programming_language
what is the main language,main_programming_language
who resolved issue 6744,issue_closer
show me who closed issue 1235,issue_closer
resolver of issue 3234,issue_closer
give me the user that resolved issue 888,issue_closer
issue 13 closer,issue_closer
who closed issue 6744,issue_closer
who is the developer that resolved issue 964,issue_closer
what is the base branch in the repository,default_branch
base branch?,default_branch
Which branch is considered to be the base one?,default_branch
what is the default branch here?,default_branch
I would like to know the default branch,default_branch
give me the main branch in the repository?,default_branch
what is the base branch in this repository?,default_branch
what is the name of the repository owner?,repository_owner
what is the name of the person who owns the repository,repository_owner
can you provide me with the repo owner,repository_owner
can you give me the name of the repository owner,repository_owner
