command,intent
number of commits in the branch the-branch-name,number_of_commits_in_branch
commits in branch xywz,number_of_commits_in_branch
Who is assigned to pr 64,pr_assignees
Who should fix pull request 1,pr_assignees
which developers should work on pull request 5,pr_assignees
How many developers have commited to this repo,number_of_collaborators
How many commits does George have,contributions_by_developer
How many commits has Khaled made,contributions_by_developer
Did Ben make alot of contributions to this repository ?,contributions_by_developer
What are the programming languages used in the repo,list_languages
list the languages,list_languages
top languages,list_languages
when was the first commit made in the master branch,intial_commit_in_branch
initial commmit in branch,list_branches
who has the first commit to the add-ons branch,intial_commit_in_branch
What are the commits for pr 6744,commits_in_pr
pr 13 related commits,commits_in_pr
what are the commits in pull request 964,commits_in_pr
List me the file with the most lines of code,largest_files
longest file size,largest_files
file with most LOC,largest_files
what is the last commit in the clean_tool branch,latest_commit_in_branch
the latest commit in the branch master,latest_commit_in_branch
the last commit to the XvX branch,latest_commit_in_branch
which pr has remained unmerged the longest period of time,longest_open_pr
what is the longest open pull request,longest_open_pr
which pull request was open for the longest amount of time,longest_open_pr
who made the last commit,latest_commit
the most recent commit,latest_commit
when was the last commit made,latest_commit
what were the main events from the last day,activity_report
What happened in the last 24 hours,activity_report
what is the number of closed pull requests,number_of_prs
number of closed prs,number_of_prs
count open pull requests,number_of_prs
show me the creation date for issue 3,issue_creation_date
creation date issue 860,issue_creation_date
At what time was issue 2315 opened,issue_creation_date
What was the date of creation issue 4,issue_creation_date
what is the first commit ever,intial_commit
can you tell me what the intial commit was,intial_commit
when was the first commit made,intial_commit
who commited first to the repo,intial_commit
pr 546 creation date,pr_creation_date
What was the date when pull request with number 432 was created,pr_creation_date
pull request 546 creation date,pr_creation_date
count issues,number_of_issues
How many bugs are currently open,number_of_issues
number of closed issues,number_of_issues
bug report,number_of_issues
list me the files affected by pr number 4,files_changed_by_pr
give me a list of files that were changed by pull request 564,files_changed_by_pr
file changes by pull request 74,files_changed_by_pr
what files were changed in pr 6744,files_changed_by_pr
when was the most recent PR?,most_recent_prs
what are the most recent pull requests,most_recent_prs
show me the most recent prs,most_recent_prs
list the recent open pull requests,most_recent_prs
latest issues,most_recent_issues
newest issues,most_recent_issues
what are the newest issues,most_recent_issues
latest opened issues,most_recent_issues
most recent issues,most_recent_issues
show me the closing date for issue 3,issue_closing_date
was issue 24 closed ?,issue_closer
What was the date of closing pr 4,pr_closing_date
closing date pull request 860,pr_closing_date
show me issue 84161 creator,issue_creator
issue 774 opener,issue_creator
who is the developer that opened issue 964,issue_creator
show me who opned issue 1235,issue_creator
give me a the developer name who created issue 564,issue_creator
give me names of all the commenters on pr 6681,pr_contributors
show me pr 84161 contributors,pr_contributors
show me the developers who commented on pr 888,pr_contributors
pr 774 commenters,pr_contributors
who are the people who commented on pr 9521,pr_contributors
who opened pr 9521,pr_creator
who created pull request 6744,pr_creator
show me pull request 84161 creator,pr_creator
pr 774 opener,pr_creator
give me the user that opened pr 888,pr_creator
closer of pull request 3234,pr_closer
give me a the developer name who closed pull request 564,pr_closer
give me the user that merged pr 888,pr_closer
show me who closed pr 74,pr_closer
who closed pr 6744,pr_closer
who resolved issue 6744,issue_closer
resolver of issue 3234,issue_closer
closer of issue 3234,issue_closer
issue 13 closer,issue_closer
who is the developer that resolved issue 964,issue_closer
what is the base branch in this repository?,default_branch
give me the name of the default branch in the repository?,default_branch
give me the main branch in the repository?,default_branch
let me know which branch is the main one?,default_branch
Which branch is considered to be the base one?,default_branch
To whom does this repo belong?,repository_owner
what programming language is most used?,main_programming_language
most used programming language,main_programming_language
Tell me the dominant programming language,main_programming_language
What programming language is most used in this repository,main_programming_language
what is the main language,main_programming_language
let me know which programming language is most used,main_programming_language
give me names of all the commenters on issue 6681,issue_contributors
show me the developers who commented on issue 888,issue_contributors
who touched 98,issue_contributors
who contributed to issue 6744,issue_contributors
people that worked on 888,issue_contributors
list all the developers who commented on issue 3,issue_contributors
what topics do we have,repository_topics
topics for this repository?,repository_topics
what are the repository topics,repository_topics
repository topics,repository_topics
give me the topics that are related to repository,repository_topics
To which topics does the repository belong,repository_topics
what topics are related to our repository?,repository_topics
who created the file index.js?,file_creator
who created file readme.md in the repository?,file_creator
creator of file server.json,file_creator
for file map.json who created it?,file_creator
which developer created file main.py?,file_creator
who created map.json?,file_creator
who created this file index.js,file_creator
let me know the names of all branches,list_branches
name all the branches in the repository,list_branches
what branches do we have?,list_branches
what branches are available right now?,list_branches
name all the branches,list_branches
give me a list of the names of all branches in the repo?,list_branches
what are the available branches?,list_branches
list all the branches names,list_branches
let me know how many commits are in the repository,number_of_commits
How many commits?,number_of_commits
In this repository, how many commits do I have?,number_of_commits
commits count?,number_of_commits
how many commits,number_of_commits
number of commits?,number_of_commits
I would like to know how many commits are there in total?,number_of_commits
count all the commits for me,number_of_commits
count for me the number of commits,number_of_commits
how many commits in the repository?,number_of_commits
count for me the number of forks that I have,number_of_forks
count for me the number of forks,number_of_forks
forks count?,number_of_forks
give the number of forks I have in repository,number_of_forks
please let me know the number of forks in the repo,number_of_forks
number of forks?,number_of_forks
please let me know the number of subscribers in the repo,number_of_subscribers
How many subscribers?,number_of_subscribers
give me the subscriber count in my repoisotry,number_of_subscribers
number of subscribers?,number_of_subscribers
let me know how many subscribers are in the repository,number_of_subscribers
how many subscribers in total?,number_of_subscribers
subscribers count,number_of_subscribers
count for me the number of subscribers,number_of_subscribers
provide me with the total number of subscribers,number_of_subscribers
in this repository what is the total count of subscribers,number_of_subscribers
who collaborated on repository?,list_collaborators
please give me the names of the repository collaborators,list_collaborators
list who worked on this project,list_collaborators
Who committed in this repository?,list_collaborators
who has worked on our project?,list_collaborators
who collaborated in the repository?,list_collaborators
give me all the contributors?,list_collaborators
list the names of all the contributors?,list_collaborators
give me the name of people who worked on this project?,list_collaborators
give me a list of all the collaborators to the repository,list_collaborators
who contributed to my repository?,list_collaborators
give me a count of all the downloads,number_of_downloads
total number of downloads?,number_of_downloads
how many downloads do I have?,number_of_downloads
count all the downloads for me,number_of_downloads
what is the number of downloads that we have in repository?,number_of_downloads
how many downloads for the repository?,number_of_downloads
provide me with the total number of downloads,number_of_downloads
how many downloads do we have?,number_of_downloads
how many downloads in total does the repository have?,number_of_downloads
How many downloads?,number_of_downloads
count the repository downloads,number_of_downloads
