command,intent
count issues,number_of_issues
number of closed issues,number_of_issues
bug report,number_of_issues
show me issue 84161 creator,issue_creator
issue 774 opener,issue_creator
who is the developer that opened issue 964,issue_creator
show me who opned issue 1235,issue_creator
give me a the developer name who created issue 564,issue_creator
To whom does this repo belong?,repository_owner
what programming language is most used?,main_programming_language
most used programming language,main_programming_language
Tell me the dominant programming language,main_programming_language
What programming language is most used in this repository,main_programming_language
what is the main language,main_programming_language
let me know which programming language is most used,main_programming_language
