command,intent
count issues,number_of_issues
number of issues,number_of_issues
count open issues,number_of_issues
please provide a report about closed issues in the repo,number_of_issues
For this repo, show me the the number of open issues,number_of_issues
show me issue 84161 creator,issue_creator
show me who opned issue 1235,issue_creator
who created issue 6744,issue_creator
who created issue 9521,issue_creator
creator of issue 3234,issue_creator
who opened issue 6744,issue_creator
give me the main programming language,main_programming_language
Tell me the dominant programming language,main_programming_language
I'd like to know the main programming language,main_programming_language
which programming language do we use the most?,main_programming_language
Main programming language?,main_programming_language
what is the main language in the repository?,main_programming_language
I'd like to know the most used programming language,main_programming_language
To whom does this repo belong?,repository_owner
