command,intent
list the repository releases,list_releases
how many commits are in branch X,number_of_commits_in_branch
give me a report from the last day?,activity_report
At what time was pull request 2315 closed,pr_closing_date
What was the date of closing pr 4,pr_closing_date
What was the date when pr 432 was merged,pr_closing_date
When was issue 1109 closed,issue_closing_date
when was issue 24 closed,issue_closing_date
Which branch is considered to be the base one?,default_branch
give me the name of the default branch in the repository?,default_branch
what is the base branch in this repository?,default_branch
list me the commits that mentioned issue 888,issue_related_commits
what commits are related to 3234?,issue_related_commits
which commits in the repository are linked to issue 84161?,issue_related_commits
issue 13 related commits?,issue_related_commits
list commits that mention issue 84161,issue_related_commits
how many forks,number_of_forks
how many forks in total does the repository have?,number_of_forks
In this repository, how many forks do I have?,number_of_forks
How many forks?,number_of_forks
count for me the number of stars,number_of_stars
give the number of stars I have in repository,number_of_stars
how many stars do we have?,number_of_stars
stars count?,number_of_stars
number of stars?,number_of_stars
count the repository stars,number_of_stars
count for me the number of stars that I have,number_of_stars
