command,intent
list me the commits that mentioned issue 888,issue_related_commits
what commits are related to 3234?,issue_related_commits
which commits in the repository are linked to issue 84161?,issue_related_commits
issue 13 related commits?,issue_related_commits
list commits that mention issue 84161,issue_related_commits
count for me the number of stars,number_of_stars
give the number of stars I have in repository,number_of_stars
how many stars do we have?,number_of_stars
stars count?,number_of_stars
number of stars?,number_of_stars
count the repository stars,number_of_stars
count for me the number of stars that I have,number_of_stars
