command,intent
assignee of issue 24,issue_assignees
Who is the assignee on issue 121,issue_assignees
I want to have a list of developers with open issues,developers_with_most_open_issues
who has the most open issues,developers_with_most_open_issues
developers with most open issues,developers_with_most_open_issues
list releases,list_releases
give me a list of the releases in the repository,list_releases
who was the last developer to change file index.js,last_developer_to_touch_a_file
last developer to touch server.rb,last_developer_to_touch_a_file
developer who most recently changed constant.txt,last_developer_to_touch_a_file
number of commits in the branch the-branch-name,number_of_commits_in_branch
how many commits are in branch X,number_of_commits_in_branch
count the number of commits in branch TheBranch,number_of_commits_in_branch
which developers should work on pull request 5,pr_assignees
pr 347 assignees,pr_assignees
Who is assigned to pr 64,pr_assignees
How many contributers ?,number_of_collaborators
How many collaborators ?,number_of_collaborators
top languages,list_languages
What are the technologies that are used in this repository ?,list_languages
What are the top languages in this repostiory ?,list_languages
who has the first commit to the add-ons branch,intial_commit_in_branch
what was the message of the first commit in branch master,intial_commit_in_branch
first commit in branch X,intial_commit_in_branch
initial commmit in branch,list_branches
How much did John contribute to the respository ?,contributions_by_developer
How many contributions does Makram have,contributions_by_developer
How many commits has Khaled made,contributions_by_developer
pr 13 related commits,commits_in_pr
pull request 6744 related commits,commits_in_pr
show me commits linked to pr 74,commits_in_pr
show me pull request 84161 related commits,commits_in_pr
large files,largest_files
give me the biggest file in the repository,largest_files
biggest file,largest_files
Bigest file in the repository,largest_files
last release,latest_release
latest release,latest_release
what is the latest release for the repository,latest_release
give me the last release for the repository,latest_release
who made the last commit,latest_commit
the most recent commit,latest_commit
what is the last commit in the repository,latest_commit
the last commit,latest_commit
can you tell me what the latest commit was in this branch play_tests,latest_commit_in_branch
who made the last commit in master,latest_commit_in_branch
last in commit in branch XYZ,latest_commit_in_branch
when was the last commit made in ths branch,latest_commit_in_branch
pull request that has been open for a long time,longest_open_pr
what is the longest open pull request,longest_open_pr
which pull request was open for the longest amount of time,longest_open_pr
which pr has remained unmerged the longest period of time,longest_open_pr
what is the longest open issue,longest_open_issue
oldest open issue ?,longest_open_issue
which issue was open for the longest amount of time,longest_open_issue
which issue has been left unresolved for the most amount of time ?,longest_open_issue
show me the report for the day,activity_report
give me a report from the last day?,activity_report
what were the main events from the last day,activity_report
What were the recent events in the repository,activity_report
What happened in the last 24 hours,activity_report
When was issue 1109 opened,issue_creation_date
