command,intent
give me the user that merged pr 888,pr_closer
how many watchers,number_of_watchers
what programming language is most used?,main_programming_language
I would like to know the repository license,repository_license
who touched 98,issue_contributors
When did I start the project?,repository_creation_date
who created file index.js?,file_creator
what branches do I have,list_branches
commits count?,number_of_commits
list commits that mention issue 84161,issue_related_commits
give me a list of all the commits where issue 1235 was mentioned,issue_related_commits
How many branches?,number_of_branches
how many branches,number_of_branches
How many stars?,number_of_stars
provide me with the total number of stars,number_of_stars
count for me the number of forks,number_of_forks
how many forks in total?,number_of_forks
give me the subscriber count in my repoisotry,number_of_subscribers
let me know how many subscribers are in the repository,number_of_subscribers
give me a list of all the collaborators to the repository,list_collaborators
who are the collaborators?,list_collaborators
number of downloads?,number_of_downloads
let me know how many downloads does the repository have,number_of_downloads
