command,intent
who has the most open issues,developers_with_most_open_issues
list releases,list_releases
give me a list of the releases in the repository,list_releases
how many commits are in branch X,number_of_commits_in_branch
show me the report for the day,activity_report
give me a report from the last day?,activity_report
what were the main events from the last day,activity_report
What happened in the last 24 hours,activity_report
show me the most recent prs,most_recent_prs
what are the most recent pull requests,most_recent_prs
give me a list of the most recent prs,most_recent_prs
most recent pull requests,most_recent_prs
show me the latest prs,most_recent_prs
list recent prs,most_recent_prs
pr 13 changed files,files_changed_by_pr
what files were changed in pr 6744,files_changed_by_pr
what files has this pr 69 touched,files_changed_by_pr
what are the file changes introduced by 6744,files_changed_by_pr
file changes by pull request 74,files_changed_by_pr
pull request 546 close date,pr_closing_date
At what time was pull request 2315 closed,pr_closing_date
when did we resolve issue 3907,issue_closing_date
when was issue 674 resolved,issue_closing_date
show me pull request 84161 creator,pr_creator
who authored pull request 3?,pr_creator
give me the user that opened pr 888,pr_creator
who opened pr 9521,pr_creator
give me a the developer name who created pull request 564,pr_creator
who created pull request 9521,pr_creator
let me know which branch is the main one?,default_branch
what is the base branch in the repository,default_branch
what is the default branch here?,default_branch
Default branch?,default_branch
what is the default branch,default_branch
what is the main branch in this repository,default_branch
To whom does this repo belong?,repository_owner
show me the linked commits to issue 84161,issue_related_commits
in which commits was issue 964?,issue_related_commits
list commits that mention issue 84161,issue_related_commits
what commits are related to 3234?,issue_related_commits
what commits were mentioned issue 74?,issue_related_commits
issue 13 related commits?,issue_related_commits
which commits in the repository are linked to issue 84161?,issue_related_commits
commits that mentioned issue 6744,issue_related_commits
give me a the commits linked to issue 564,issue_related_commits
how many forks in total does the repository have?,number_of_forks
I would like to know how many forks are there in total?,number_of_forks
In this repository, how many forks do I have?,number_of_forks
let me know how many forks are in the repository,number_of_forks
how many forks do I have?,number_of_forks
how many forks in the repository?,number_of_forks
number of stars,number_of_stars
stars count?,number_of_stars
number of stars?,number_of_stars
how many stars in total does the repository have?,number_of_stars
provide me with the total number of stars,number_of_stars
let me know how many stars are in the repository,number_of_stars
what is the number of stars that we have?,number_of_stars
total number of stars?,number_of_stars
in this repository what is the total count of stars,number_of_stars
count the repository stars,number_of_stars
I want to know the number of stars in the repository,number_of_stars
stars count,number_of_stars
In this repository, how many stars do I have?,number_of_stars
who are the contributors?,list_collaborators
list all the collaborators,list_collaborators
give me a list of all the collaborators to the repository,list_collaborators
Who are the repository collaborators?,list_collaborators
Who are the repository contributors?,list_collaborators
list the names of all the contributors?,list_collaborators
give me all the collaborators?,list_collaborators
give me all the contributors?,list_collaborators
give the number of downloads I have in repository,number_of_downloads
how many downloads in total does the repository have?,number_of_downloads
how many downloads do I have,number_of_downloads
what is the number of downloads that we have in repository?,number_of_downloads
number of downloads?,number_of_downloads
give me the download count in my repoisotry,number_of_downloads
please let me know the number of downloads in the repo,number_of_downloads
count the repository downloads,number_of_downloads
how many downloads for the repository?,number_of_downloads
How many downloads?,number_of_downloads
count all the downloads for me,number_of_downloads
how many downloads in total?,number_of_downloads
how many downloads do we have?,number_of_downloads
I want to know the number of downloads for the repository,number_of_downloads
