command,intent
Who is assigned to issue 64,issue_assignees
developers with most open issues,developers_with_most_open_issues
I want a list of repository releases,list_releases
last developer to touch server.rb,last_developer_to_touch_a_file
how many commits are in the branch rel-1.3.0?,number_of_commits_in_branch
pr 347 assignees,pr_assignees
technologies and languages used in the repo,list_languages
who has the first commit in branch xxyx,intial_commit_in_branch
give me a list of commits related to pull request 564,commits_in_pr
tell me what the last pushed commit is,latest_commit
How many developers have worked on this repository ?,number_of_collaborators
How many contributions does Makram have,contributions_by_developer
Bigest file in the repository,largest_files
biggest file,largest_files
latest release,latest_release
what is the last commit in the clean_tool branch,latest_commit_in_branch
last in commit in branch XYZ,latest_commit_in_branch
pull request that has been open for a long time,longest_open_pr
which issue has been open for the longest time,longest_open_issue
longest open issue,longest_open_issue
What were the recent events in the repository,activity_report
show me the creation date for issue 3,issue_creation_date
when did we open issue 4783,issue_creation_date
who authored the 1st commit,intial_commit
pr 546 creation date,pr_creation_date
show me the creation date for pr 3,pr_creation_date
For this repo, show me the the number of open issues,number_of_issues
show me the list of the top contributers,top_contributors
who contributed the most to this repository,top_contributors
count open pull requests,number_of_prs
How many open prs,number_of_prs
most recent pull requests,most_recent_prs
give me a list of the most recent prs,most_recent_prs
what are the file changes introduced by 6744,files_changed_by_pr
give me a list of files that were changed by pull request 564,files_changed_by_pr
show me the newest issues in the repository,most_recent_issues
newest issues,most_recent_issues
What was the date of closing pr 4,pr_closing_date
At what time was pull request 2315 closed,pr_closing_date
show me who created issue 74,issue_creator
who opened issue 6744,issue_creator
list all the developers who commented on pr 3,pr_contributors
pr 13 contributors,pr_contributors
who opened pr 9521,pr_creator
show me who opned pull request 1235,pr_creator
who closed pull request 6744,pr_closer
show me who closed pr 74,pr_closer
how many watchers do we have?,number_of_watchers
watchers count?,number_of_watchers
most used programming language,main_programming_language
Tell me the dominant programming language,main_programming_language
When did issue 214 finally close,issue_closing_date
What was the date when issue 432 was resolved,issue_closing_date
show me issue 84161 closer,issue_closer
show me who closed issue 74,issue_closer
closer of issue 3234,issue_closer
Which branch is considered as default,default_branch
let me know which branch is the main one?,default_branch
what is the name of the person who owns the repository,repository_owner
can you tell me the owner name,repository_owner
Who owns the repository?,repository_owner
what is the license for the repository ?,repository_license
license for the repository?,repository_license
show me who contributed to issue 74,issue_contributors
issue 774 commenters,issue_contributors
show me the developers who commented on issue 888,issue_contributors
topics related to the repository?,repository_topics
repository topics that we have?,repository_topics
give me the creation date for the repository,repository_creation_date
repository creation date,repository_creation_date
when was this repository created?,repository_creation_date
who first added this file domain.yml ?,file_creator
who created file index.js?,file_creator
who created map.json?,file_creator
give me a list of the names of all branches in the repo?,list_branches
what branches do I have,list_branches
let me know the names of all branches,list_branches
give me a list of all the commits where issue 1235 was mentioned,issue_related_commits
give me a the commits linked to issue 564,issue_related_commits
show me commits related to this issue 3234?,issue_related_commits
what commits are related to 3234?,issue_related_commits
give me a count of all the commits,number_of_commits
commits count?,number_of_commits
In this repository, how many commits do I have?,number_of_commits
provide me with the total number of commits,number_of_commits
How many branches?,number_of_branches
let me know how many branches are in the repository,number_of_branches
count for me the number of branches,number_of_branches
how many branches in total?,number_of_branches
How many stars?,number_of_stars
count all the stars for me,number_of_stars
I would like to know how many stars are there in total?,number_of_stars
how many stars do I have?,number_of_stars
provide me with the total number of stars,number_of_stars
count for me the number of forks,number_of_forks
how many forks,number_of_forks
how many forks in the repository?,number_of_forks
I want to know the number of forks in the repository,number_of_forks
give me the subscriber count in my repoisotry,number_of_subscribers
provide me with the total number of subscribers,number_of_subscribers
what is the number of subscribers that we have?,number_of_subscribers
number of subscribers?,number_of_subscribers
number of subscribers,number_of_subscribers
list all the contributors,list_collaborators
give me all the collaborators?,list_collaborators
list all the collaborators,list_collaborators
who contributed to the repository?,list_collaborators
I want to know the number of downloads for the repository,number_of_downloads
how many downloads do I have,number_of_downloads
how many downloads do I have?,number_of_downloads
give the number of downloads I have in repository,number_of_downloads
how many downloads in total for repository?,number_of_downloads
