command,intent
count the number of commits in branch TheBranch,number_of_commits_in_branch
how many commits are in branch X,number_of_commits_in_branch
How many developers have worked on this repository ?,number_of_collaborators
list the languages,list_languages
technologies and languages used in the repo,list_languages
the inital commit for branch dev1,intial_commit_in_branch
Did Ben make alot of contributions to this repository ?,contributions_by_developer
How many commits does dev have,contributions_by_developer
what are the commits in pull request 964,commits_in_pr
pull request 6744 related commits,commits_in_pr
longest open pr,longest_open_pr
show me the longest open pull request,longest_open_pr
who commited last to the master branch,latest_commit_in_branch
what is the last commit in the clean_tool branch,latest_commit_in_branch
the latest commit in the branch master,latest_commit_in_branch
give me a report from the last day?,activity_report
can you tell me the date 2 was opened ?,issue_creation_date
At what time was issue 2315 opened,issue_creation_date
When did issue 214 open,issue_creation_date
For this repo, show me the the number of open issues,number_of_issues
give me a list of new pull requests,most_recent_prs
what are the most recent pull requests,most_recent_prs
show me the newest pull requests in the repository,most_recent_prs
At what time was pull request 2315 closed,pr_closing_date
What was the date of closing pr 4,pr_closing_date
What was the date when pr 432 was merged,pr_closing_date
show me who opned issue 1235,issue_creator
who created issue 9521,issue_creator
who is the developer that opened issue 964,issue_creator
give me the user that opened issue 888,issue_creator
show me who opned pull request 1235,pr_creator
who is the developer that started pull request 964,pr_creator
who created pull request 6744,pr_creator
who authored pull request 3?,pr_creator
Which branch is considered to be the base one?,default_branch
give me the name of the default branch in the repository?,default_branch
what is the base branch in this repository?,default_branch
which language are we using the most?,main_programming_language
Main programming language?,main_programming_language
give me the main programming language,main_programming_language
most used programming language,main_programming_language
number of commits,number_of_commits
give the number of commits I have in repository,number_of_commits
number of commits?,number_of_commits
in this repository what is the total count of commits,number_of_commits
count for me the number of commits,number_of_commits
total number of commits?,number_of_commits
count for me the number of commits that I have,number_of_commits
count all the forks for me,number_of_forks
count for me the number of forks that I have,number_of_forks
what is the number of forks,number_of_forks
how many subscribers in total does the repository have?,number_of_subscribers
give the number of subscribers I have in repository,number_of_subscribers
please let me know the number of subscribers in the repo,number_of_subscribers
how many subscribers do we have?,number_of_subscribers
count the repository subscribers,number_of_subscribers
what is the number of subscribers,number_of_subscribers
number of subscribers?,number_of_subscribers
subscribers count?,number_of_subscribers
number of downloads,number_of_downloads
how many downloads for the repository?,number_of_downloads
count all the downloads for me,number_of_downloads
how many downloads do we have?,number_of_downloads
How many downloads?,number_of_downloads
I want to know the number of downloads for the repository,number_of_downloads
how many downloads in total?,number_of_downloads
number of downloads?,number_of_downloads
